date,description,amount,transaction_type
2023-01-01,McDonald's,-1226.41,debit
2023-01-05,Starbucks Coffee,-149.41,debit
2023-01-05,Flipkart Order,-3268.85,debit
2023-01-06,Walmart Grocery,-300.24,debit
2023-01-07,Internet Bill,-3181.06,debit
2023-01-10,Society Dues,-29656.84,debit
2023-01-12,Uber Eats,-459.05,debit
2023-01-12,Apollo Pharmacy,-10070.39,debit
2023-01-14,Cab Service,-215.1,debit
2023-01-18,Bus Pass Renewal,-205.86,debit
2023-01-18,Cafe Coffee Day,-532.17,debit
2023-01-18,Internet Bill,-8404.43,debit
2023-01-19,Interest Credit,850.55,credit
2023-01-19,Myntra Shopping,-2121.32,debit
2023-01-21,Flipkart Order,-1380.54,debit
2023-01-22,Zara Store,-2341.01,debit
2023-01-22,Pizza Hut,-97.56,debit
2023-01-22,Reliance Fresh,-356.11,debit
2023-01-23,Flipkart Order,-329.23,debit
2023-01-23,Adidas Store,-312.41,debit
2023-01-24,Swiggy Order,-257.43,debit
2023-01-25,Contract Payment,31350.78,credit
2023-01-26,BigBazaar Grocery,-337.55,debit
2023-01-27,Fashion Store,-318.29,debit
2023-01-28,Contract Payment,100409.74,credit
2023-01-28,Broadband Renewal,-1496.34,debit
2023-01-28,Society Dues,-27143.51,debit
2023-01-30,Business Income,106830.33,credit
2023-01-30,Service Fee,-26908.73,debit
2023-02-02,Broadband Renewal,-3864.44,debit
2023-02-03,Amazon Purchase,-1448.12,debit
2023-02-03,KFC Outlet,-837.23,debit
2023-02-04,KFC Outlet,-558.09,debit
2023-02-04,Investment Return,16051.5,credit
2023-02-05,Apollo Pharmacy,-2085.09,debit
2023-02-10,Walmart Grocery,-745.88,debit
2023-02-11,Restaurant Dining,-252.27,debit
2023-02-11,DMart Supermarket,-492.08,debit
2023-02-11,General Purchase,-4591.26,debit
2023-02-12,Electricity Bill,-1289.31,debit
2023-02-12,Pizza Hut,-399.79,debit
2023-02-14,Zara Store,-971.65,debit
2023-02-14,Internet Bill,-1398.8,debit
2023-02-15,Nike Outlet,-2178.25,debit
2023-02-17,Uber Ride,-463.47,debit
2023-02-18,Adobe Creative Cloud,-119.0,debit
2023-02-19,Consulting Fee,7701.71,credit
2023-02-20,Myntra Shopping,-949.46,debit
2023-02-20,Auto Rickshaw,-351.58,debit
2023-02-21,Referral Bonus,577.81,credit
2023-02-22,Adidas Store,-839.13,debit
2023-02-22,Apple iCloud Storage,-119.0,debit
2023-02-25,Cashback Credit,166.95,credit
2023-02-26,H&M Purchase,-579.13,debit
2023-02-26,Utilities Payment,-3507.76,debit
2023-02-27,McDonald's,-810.02,debit
2023-03-02,Decathlon Purchase,-461.13,debit
2023-03-03,Refund - Merchant,4186.17,credit
2023-03-04,Zara Store,-426.96,debit
2023-03-05,BigBazaar Grocery,-352.14,debit
2023-03-09,Domino's,-1911.25,debit
2023-03-11,McDonald's,-160.43,debit
2023-03-12,McDonald's,-425.25,debit
2023-03-14,Cab Service,-272.14,debit
2023-03-14,Gas Bill,-2329.76,debit
2023-03-14,Spencer's Retail,-373.24,debit
2023-03-14,Cafe Coffee Day,-617.28,debit
2023-03-15,Reliance Fresh,-517.88,debit
2023-03-20,Nike Outlet,-2969.74,debit
2023-03-21,Internet Bill,-1726.76,debit
2023-03-21,Service Fee,-6496.2,debit
2023-03-21,Coursera Subscription,-3461.01,debit
2023-03-22,Home Insurance,-4136.68,debit
2023-03-22,Metro Card Recharge,-378.02,debit
2023-03-22,Fashion Store,-1805.87,debit
2023-03-23,Bakery Purchase,-197.95,debit
2023-03-25,Bonus Credit,5765.75,credit
2023-03-25,Water Bill,-2836.32,debit
2023-03-25,Restaurant Dining,-1574.65,debit
2023-03-26,Service Fee,-15802.22,debit
2023-03-27,Pizza Hut,-1213.5,debit
2023-03-27,Cafe Coffee Day,-1524.2,debit
2023-03-27,Fashion Store,-340.0,debit
2023-03-27,Cashback Credit,1052.1,credit
2023-03-28,Adidas Store,-315.97,debit
2023-03-28,McDonald's,-1904.94,debit
2023-04-01,Fashion Store,-3781.59,debit
2023-04-02,Gym Membership,-995.88,debit
2023-04-07,More Supermarket,-350.59,debit
2023-04-07,Fashion Store,-2173.56,debit
2023-04-08,Coursera Subscription,-2037.22,debit
2023-04-10,Myntra Shopping,-5646.09,debit
2023-04-13,Service Fee,-9422.09,debit
2023-04-15,McDonald's,-1026.78,debit
2023-04-15,Pizza Hut,-1988.18,debit
2023-04-15,Water Bill,-7091.56,debit
2023-04-15,Reliance Fresh,-543.75,debit
2023-04-18,General Purchase,-11601.02,debit
2023-04-19,Bakery Purchase,-1968.62,debit
2023-04-19,Bakery Purchase,-909.64,debit
2023-04-21,Ajio Online Store,-854.0,debit
2023-04-22,Reliance Fresh,-1984.13,debit
2023-04-22,Myntra Shopping,-1177.01,debit
2023-04-26,BESCOM Bill,-3813.87,debit
2023-04-26,Mobile Recharge,-1393.4,debit
2023-04-27,Uber Eats,-173.17,debit
2023-04-27,H&M Purchase,-4002.6,debit
2023-04-28,DMart Supermarket,-793.28,debit
2023-04-28,Dentist Visit,-1327.85,debit
2023-05-01,Domino's,-1254.18,debit
2023-05-02,Fresh Market,-461.75,debit
2023-05-03,Pizza Hut,-273.78,debit
2023-05-03,Business Income,24536.73,credit
2023-05-04,Gym Membership,-3039.37,debit
