date,description,amount,transaction_type
2023-01-01,Uber Ride,572.03,debit
2023-01-01,Amazon Purchase,4254.62,debit
2023-01-04,Insurance Premium,2708.72,debit
2023-01-05,Swiggy Order,731.01,debit
2023-01-05,Ola Cab,435.7,debit
2023-01-07,Coffee Shop,384.59,debit
2023-01-08,PVR Cinemas,575.66,debit
2023-01-10,Water Bill,278.63,debit
2023-01-11,Gym Membership,2353.17,debit
2023-01-12,Uber Ride,421.21,debit
2023-01-13,House Rent,14563.71,debit
2023-01-13,Hotel Stay,5411.88,debit
2023-01-14,Spa & Wellness,503.95,debit
2023-01-14,BookMyShow Tickets,349.12,debit
2023-01-15,Uber Ride,130.36,debit
2023-01-17,Hotel Stay,6688.41,debit
2023-01-17,Water Bill,369.33,debit
2023-01-18,Rental Income,23724.96,credit
2023-01-18,Myntra Fashion,2132.11,debit
2023-01-19,Book Purchase,610.7,debit
2023-01-19,Reliance Fresh,1404.89,debit
2023-01-19,Cashback Credit,237.67,credit
2023-01-19,Travel Booking,10197.94,debit
2023-01-20,Maintenance Charges,1349.56,debit
2023-01-20,Reliance Fresh,1153.38,debit
2023-01-20,Hair Salon,958.11,debit
2023-01-21,Hotel Stay,9520.96,debit
2023-01-22,Book Purchase,1233.71,debit
2023-01-22,School Fees,10801.43,debit
2023-01-23,Restaurant Dinner,1416.87,debit
2023-01-23,Myntra Fashion,2042.3,debit
2023-01-23,School Fees,10838.75,debit
2023-01-23,Airtel Mobile Bill,430.42,debit
2023-01-25,Travel Booking,19806.94,debit
2023-01-25,Book Purchase,486.13,debit
2023-01-25,Metro Card Recharge,507.19,debit
2023-01-26,Rental Income,21720.0,credit
2023-01-27,Bonus Credit,21785.64,credit
2023-01-28,Amazon Purchase,2609.02,debit
2023-01-28,Flipkart Order,2187.91,debit
2023-01-28,Myntra Fashion,710.0,debit
2023-01-29,BookMyShow Tickets,1453.54,debit
2023-01-30,BookMyShow Tickets,1083.95,debit
2023-01-30,Petrol/Diesel,556.67,debit
2023-01-31,MedPlus Medical Store,1233.92,debit
2023-02-02,BookMyShow Tickets,1316.72,debit
2023-02-02,Reliance Fresh,1486.81,debit
2023-02-05,Water Bill,701.22,debit
2023-02-07,Gym Membership,1214.09,debit
2023-02-07,Ola Cab,230.33,debit
2023-02-08,Hotel Stay,8833.03,debit
2023-02-10,Uber Ride,319.67,debit
2023-02-10,Insurance Premium,8051.27,debit
2023-02-12,Refund Credit,4310.07,credit
2023-02-13,BigBasket Groceries,381.54,debit
2023-02-13,Uber Ride,220.56,debit
2023-02-14,Interest Credit,2346.95,credit
2023-02-16,Insurance Premium,9385.49,debit
2023-02-19,Reliance Fresh,526.55,debit
2023-02-20,Apollo Pharmacy,947.35,debit
2023-02-20,Airtel Mobile Bill,691.73,debit
2023-02-20,Apollo Pharmacy,604.69,debit
2023-02-22,Myntra Fashion,597.36,debit
2023-02-22,Dividend Credit,12312.48,credit
2023-02-23,School Fees,6831.9,debit
2023-02-24,Restaurant Dinner,629.92,debit
2023-02-27,Flipkart Order,5070.52,debit
2023-02-27,Myntra Fashion,1414.66,debit
2023-02-28,Gym Membership,970.97,debit
2023-02-28,Hotel Stay,5347.45,debit
2023-03-01,Jio Recharge,560.06,debit
2023-03-02,Water Bill,304.49,debit
2023-03-02,Hair Salon,830.75,debit
2023-03-02,Netflix Subscription,264.85,debit
2023-03-03,Flipkart Order,2041.76,debit
2023-03-06,Amazon Purchase,3192.31,debit
2023-03-07,Myntra Fashion,3920.35,debit
2023-03-07,Spotify Premium,119.0,debit
2023-03-07,Maintenance Charges,1121.82,debit
2023-03-08,Myntra Fashion,1833.81,debit
2023-03-09,Airtel Mobile Bill,918.29,debit
2023-03-12,Petrol/Diesel,2708.33,debit
2023-03-12,Airtel Mobile Bill,650.66,debit
2023-03-13,Ola Cab,363.9,debit
2023-03-13,Freelance Payment,17653.71,credit
2023-03-14,Spa & Wellness,643.74,debit
2023-03-16,BookMyShow Tickets,787.7,debit
2023-03-17,PVR Cinemas,253.92,debit
2023-03-20,Travel Booking,17490.26,debit
2023-03-22,Water Bill,587.78,debit
2023-03-22,Zomato Food Delivery,174.17,debit
2023-03-24,Transfer Received,6726.93,credit
2023-03-24,Amazon Purchase,3097.45,debit
2023-03-25,Cashback Credit,159.94,credit
2023-03-27,Netflix Subscription,463.96,debit
2023-03-28,Spa & Wellness,2455.58,debit
2023-03-28,Swiggy Order,547.14,debit
2023-03-29,Uber Ride,492.39,debit
2023-03-29,Ola Cab,386.06,debit
2023-03-31,Apollo Pharmacy,189.23,debit
2023-03-31,MedPlus Medical Store,1497.29,debit
2023-04-01,Spa & Wellness,2679.2,debit
2023-04-01,Metro Card Recharge,347.54,debit
2023-04-02,Airtel Mobile Bill,695.03,debit
2023-04-02,BookMyShow Tickets,384.17,debit
2023-04-02,Bonus Credit,9615.47,credit
2023-04-03,Travel Booking,9648.44,debit
2023-04-03,Bonus Credit,19127.59,credit
2023-04-03,Rental Income,23998.38,credit
2023-04-07,Bonus Credit,25516.69,credit
2023-04-08,Swiggy Order,136.49,debit
2023-04-10,Water Bill,393.9,debit
2023-04-15,Metro Card Recharge,336.39,debit
2023-04-16,Electricity Bill,2327.02,debit
2023-04-16,MedPlus Medical Store,1485.14,debit
2023-04-18,Uber Ride,137.62,debit
2023-04-19,Spa & Wellness,2195.27,debit
2023-04-19,Hotel Stay,3109.86,debit
